recipe_id,rating,name,n_steps,ingredients,steps,n_ingredients
182985,4,watermelon martini,4,"['vodka', 'lime juice', 'triple sec', 'watermelon', 'ice cube', 'chambord raspberry liquor']","['place all ingredients in a shaker and shake until very well chilled , about 30 seconds', 'strain into a chilled martini glass', 'hint: a properly shaken martini will have a very thin layer of ice crystals floating on top after it is strained into the glass', ""most people don't shake long enough and with enough vigor""]",6
367080,4,apple blossom,3,"['brandy', 'apple juice', 'lemon juice', 'lemon slice']","['pour the brandy , apple juice , and lemon juice over ice cubes in a mixing glass and stir well', 'half-fill a chilled lowball glass with ice cubes and strain the cocktail over them', 'dress with the slice of lemon']",4
259553,5,witch s brew,6,"['sparkling wine', 'orange juice', 'orange sherbet', 'sugar', 'carbonated lemon-lime beverage', 'vodka', 'dry ice', 'grapes']","['combine champagne and orange juice in large punch bowl', 'scoop sherbet into bowl', 'add sugar to taste if desired', 'float peeled grapes in mixture , and garnish bowl with the rest of the grapes', 'drop in pieces of dry ice for steaming effect , but', 'you can add more or less vodka depending on your preferences , or leave it out completely']",8
280085,5,masquerade cocktail,2,"['citrus-infused vodka', 'apple schnapps', 'watermelon juice', 'apple juice', 'lime juice', 'ice']","['half fill a cocktail shaker full of ice , add the vodka , schnapps & juices', 'shake vigorously & strain into a chilled martini glass']",6
56516,2,peppermint patty hot chocolate,7,"['chocolate syrup', 'sugar', 'milk', 'peppermint schnapps', 'cool whip']","['combine milk , syrup , and sugar in a sauce pan', 'warm over medium heat until hot', 'in mugs , add 1-2 tbsp', 'of the schnaps in each mug', 'pour the hot chocolate in the mugs leaving a 1 / 2 inch space', 'top each mug with cool whip', 'enjoy !']",5
61912,4,peppermint patty,6,"['hot chocolate powder', 'boiling water', 'peppermint schnapps', 'frozen whipped topping']","['put instant hot chocolate mix inside large cup', 'add boiling water', 'add schnapps', 'stir', 'spoon frozen whipped topping onto hot chocolate', 'sip and enjoy !']",4
473508,5,limeade screwdriver,3,"['limeade', 'vodka', 'ice cubes']","['in a glass , combine all ingredients', 'stir', 'insert straw and enjoy !']",3
143278,0,kir royale,2,"['creme de cassis', 'champagne', 'lemon twists']","['pour 1 ounce of creme de cassis into the bottom of the 8 flute glass', 'top each with champagne and garnish with a twist of lemon']",3
429550,5,tomato and tequila,3,"['tomato juice', 'white tequila', 'lime juice', 'tabasco sauce', 'cilantro leaf']","['in tall glass combine tomato juice , tequila and lime juice', 'add ice and tabasco sauce', 'garnish with cilantro']",5
205275,5,witches brew  adult version,2,"['pineapple juice', 'orange juice', 'carbonated lemon-lime beverage', 'vodka', 'rum']","['mix well', 'pour into your cauldron , preferably with chunks of dry ice to create the bubbling steam effect']",5
67208,5,velvet hammer,3,"['vanilla ice cream', 'vodka', 'creme de cacao', 'triple sec']","['add all ingredients to the container of an electric blender', 'blend until smooth', 'serve in chilled glasses']",4
293474,5,blue nut,1,"['malibu rum', 'blue curacao', 'pineapple juice']",['pour into a shaker with ice and shake and strain'],3
